Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8626, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8666, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7921, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8281, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8225, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8038, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8184, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8066, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8318, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8135, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8701, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8476, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8398, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8016, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8091, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8262, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8143, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8226, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7889, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8413, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8564, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8604, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8296, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7874, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8384, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8071, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8282, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8036, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8156, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8345, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8501, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8720, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8076, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8059, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8388, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7978, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8346, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7849, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8384, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8147, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8635, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8690, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7887, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8324, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8192, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8077, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8148, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8105, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8398, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7883, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8684, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8636, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8434, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7975, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8130, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8222, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8174, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8187, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7919, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8418, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8539, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8632, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8230, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7870, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8430, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8034, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8292, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7996, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8210, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8307, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8505, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8725, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8045, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8132, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8351, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8000, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8306, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7903, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8424, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8103, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8643, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8679, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7874, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8365, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8145, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8113, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8112, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8150, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8364, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7889, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8697, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8627, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8105, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8419, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7863, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8307, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8013, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8415, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7955, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8415, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8508, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 8384, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7769, 3794, 5577
0.000908061, 0.000421976, 0.000484001, 0.000125635, 7510, 3794, 5577
0.00510666, 0.000935635, 0.00416745, 0.00242149, 7475, 3766, 47388
0.00669241, 0.00382652, 0.00286027, 0.00118636, 7289, 3946, 17490
0.0520386, 0.000459093, 0.00094186, 0.000334997, 7994, 4152, 11286
0.000933799, 0.000523686, 0.000407766, 9.3684e-05, 7658, 3660, 5346
0.0473136, 0.000310304, 0.000400954, 0.000101938, 7920, 3427, 5544
0.00110875, 0.000573096, 0.000532706, 9.2476e-05, 8272, 3182, 1782
0.0481187, 0.000775252, 0.000771588, 9.3297e-05, 8446, 3291, 2673
0.000500768, 0.00031903, 0.00017981, 2.8715e-05, 8288, 2884, 1452
0.000636031, 0.00042162, 0.000212281, 3.1353e-05, 7647, 2361, 957
0.0587536, 0.000301679, 0.000178187, 2.4662e-05, 7829, 2617, 1254
0.00210333, 0.00116866, 0.00093223, 0.000260684, 7796, 2791, 1155
0.000789458, 0.000319639, 0.000467384, 7.215e-05, 7433, 2638, 1881
0.000785823, 0.000514297, 0.000268488, 2.2678e-05, 8256, 2823, 1122
0.0457724, 0.000551452, 0.000347455, 2.4804e-05, 7804, 2827, 561
0.00233226, 0.0019681, 0.000360312, 1.9941e-05, 8349, 2513, 528
0.000873294, 0.000481496, 0.000388355, 3.6243e-05, 8030, 2157, 660
0.000894066, 0.000564791, 0.00032675, 2.9605e-05, 8647, 2457, 594
0.00040297, 0.00027856, 0.000122894, 1.4563e-05, 8609, 2334, 891
0.000718854, 0.000399329, 0.000316793, 2.8423e-05, 7755, 1832, 528
0.000859651, 0.000450611, 0.000405398, 5.5836e-05, 8337, 2358, 561
0.000732103, 0.00050078, 0.000229402, 2.0634e-05, 8056, 2682, 495
0.000609044, 0.000380854, 0.000225564, 7.876e-06, 8138, 2518, 132
0.000534125, 0.000399332, 0.000132774, 5.25e-06, 8046, 2614, 132
0.000868332, 0.000556541, 0.000307854, 8.279e-06, 8184, 2575, 99
0.000569969, 0.000400746, 0.000166902, 3.736e-06, 8318, 2420, 99
0.000578565, 0.000435209, 0.000140936, 4.637e-06, 7888, 2005, 66
0.000724945, 0.000497006, 0.00022451, 7.561e-06, 8709, 2251, 66
0.000516363, 0.000385004, 0.000129645, 2.117e-06, 8620, 2285, 33
0.000743898, 0.000524932, 0.000215638, 6.452e-06, 8157, 1985, 99
0.000921227, 0.000692786, 0.000225115, 5.948e-06, 8393, 2380, 99
0.000504388, 0.000404517, 9.7555e-05, 2.113e-06, 7871, 2560, 66
0.000463513, 0.000342299, 0.000118999, 4.128e-06, 8355, 2544, 132
0.000441566, 0.000336561, 0.00010279, 3.725e-06, 7982, 2580, 99
0.000577882, 0.000425257, 0.000149806, 7.35e-06, 8387, 2563, 165
0.00114403, 0.000841659, 0.00029986, 8.649e-06, 8019, 2361, 132
0.00064125, 0.00042083, 0.000217605, 8.345e-06, 8072, 2056, 99
0.00110884, 0.000782935, 0.000323089, 1.0055e-05, 8747, 2416, 165
0.00104328, 0.000280955, 0.000760611, 0, 8770, 2236, 0
0.000627323, 0.000373079, 0.000252737, 2.411e-06, 8180, 2063, 33
0.000546057, 0.000370869, 0.00017328, 6.026e-06, 7968, 2320, 132
0.000376092, 0.000248016, 0.000126569, 4.219e-06, 8465, 2619, 165
0.000934305, 0.000564038, 0.000366851, 1.8785e-05, 7975, 2608, 165
0.000475239, 0.000348367, 0.000125364, 1.7177e-05, 8383, 2615, 1221
0.000721593, 0.000388697, 0.000330588, 7.8782e-05, 7934, 2599, 3267
0.000668903, 0.00034534, 0.000321455, 6.3521e-05, 8305, 2477, 3465
0.000594135, 0.000373944, 0.000218586, 1.8268e-05, 8240, 2143, 396
0.00105258, 0.000564629, 0.000484541, 4.2553e-05, 8585, 2418, 990
0.000666464, 0.000393602, 0.000270958, 4.1114e-05, 8712, 2416, 1386
0.000512033, 0.000323605, 0.00018582, 1.7047e-05, 7999, 2076, 561
0.000892296, 0.000418571, 0.000471319, 4.8537e-05, 8242, 2514, 759
0.00116105, 0.000759023, 0.000398114, 3.0385e-05, 8296, 2708, 495
0.000543041, 0.00036677, 0.000175068, 7.416e-06, 8036, 2821, 165
0.000830044, 0.000444033, 0.000382804, 1.5532e-05, 8238, 2661, 198
0.00111043, 0.000561736, 0.000544642, 1.7291e-05, 8020, 2827, 264
0.000443658, 0.00031145, 0.000130331, 2.866e-06, 8444, 2522, 66
0.000308584, 0.000230919, 7.638e-05, 1.482e-06, 7986, 2122, 33
0.000903553, 0.000592888, 0.000307702, 8.394e-06, 8664, 2435, 66
0.000684133, 0.000441704, 0.000238479, 5.53e-06, 8662, 2467, 99
0.000515272, 0.00034809, 0.000164515, 6.617e-06, 7948, 1998, 165
0.0015, 0.00131672, 0.000180414, 0, 8433, 2510, 0
0.00105118, 0.000819517, 0.000228505, 2.963e-06, 8041, 2774, 33
0.000746827, 0.000511439, 0.000231638, 0, 8183, 2620, 0
0.000457058, 0.000348789, 0.000106294, 0, 8069, 2752, 0
0.000836739, 0.000616845, 0.000217031, 0, 8231, 2681, 0
0.000841279, 0.000492194, 0.000345039, 0, 8277, 2568, 0
0.000505814, 0.00037978, 0.000123666, 0, 7919, 2149, 0
0.000590706, 0.000455065, 0.000133964, 0, 8683, 2403, 0
0.00120262, 0.000756436, 0.000441057, 0, 8594, 2457, 0
0.00033067, 0.000233797, 9.5491e-05, 0, 8184, 2124, 0
0.000659859, 0.000409193, 0.000248791, 0, 8342, 2542, 0
0.00103853, 0.0007718, 0.000263183, 0, 7874, 2686, 0
0.000536128, 0.000371651, 0.000162899, 0, 8364, 2707, 0
0.000457932, 0.000281031, 0.000174239, 0, 7950, 2716, 0
0.000540566, 0.000367608, 0.000170689, 2.958e-06, 8421, 2685, 33
0.000672553, 0.000464863, 0.000204141, 0, 7988, 2377, 0
0.000611734, 0.000430856, 0.000177823, 0, 8111, 2158, 0
0.000551901, 0.000384822, 0.000164318, 0, 8723, 2548, 0
0.000580389, 0.000431546, 0.000130607, 0, 8483, 2199, 0
0.000696382, 0.000442148, 0.000250883, 0, 8378, 2346, 0
0.000475455, 0.000356616, 0.000115981, 0, 8057, 2395, 0
0.000801228, 0.00057912, 0.000218266, 0, 8078, 2686, 0
0.000409532, 0.000293649, 0.00011411, 0, 8290, 2843, 0
0.000693721, 0.000436926, 0.000253839, 0, 8377, 2721, 0
0.000778446, 0.000605064, 0.000170427, 0, 7893, 2739, 0
0.000682442, 0.000461382, 0.000218365, 0, 8339, 2570, 0
0.00100999, 0.000815975, 0.000189922, 2.894e-06, 8197, 2195, 33
0.000436131, 0.000338926, 9.581e-05, 3.69e-06, 8615, 2512, 264
0.000776467, 0.000587189, 0.000175608, 0, 8675, 2426, 0
0.000682477, 0.000462268, 0.000216217, 1.7163e-05, 7950, 2122, 363
0.000471137, 0.000313564, 0.000155794, 3.758e-06, 8283, 2539, 99
0.000738241, 0.000503265, 0.00023201, 0, 8251, 2788, 0
0.000777881, 0.000504846, 0.000269179, 0, 8039, 2851, 0
0.000530831, 0.000354415, 0.000174341, 5.041e-06, 8200, 2710, 99
0.000694498, 0.000462933, 0.000229787, 3.261e-06, 8055, 2919, 33
0.000361827, 0.00027347, 8.6577e-05, 0, 8443, 2581, 0
0.000460364, 0.000337909, 0.00012028, 0, 7924, 2188, 0
0.000810574, 0.000577471, 0.000229249, 0, 8671, 2485, 0
0.00115741, 0.000644369, 0.00050998, 2.964e-06, 8657, 2583, 33
0.000572827, 0.00037085, 0.000199506, 3.261e-06, 8004, 2095, 33
0.000555237, 0.000397827, 0.000155732, 2.471e-06, 8439, 2593, 33
0.000631819, 0.000469862, 0.000159782, 0, 7988, 2828, 0
0.000507922, 0.000338483, 0.000167364, 0, 8228, 2686, 0
0.000767959, 0.000570362, 0.00019562, 2.173e-06, 8074, 2834, 33
0.000658984, 0.000442517, 0.000213306, 0, 8267, 2756, 0
0.00104721, 0.000573738, 0.00047041, 0, 8225, 2546, 0
0.000674597, 0.000417659, 0.000238761, 0, 7953, 2178, 0
0.000673905, 0.00048335, 0.000187493, 0, 8721, 2497, 0
0.00125031, 0.000888761, 0.000356511, 0, 8572, 2459, 0
0.00155941, 0.000525762, 0.00103098, 0, 8216, 2193, 0
0.000755209, 0.0005951, 0.000157739, 0, 8293, 2571, 0
0.000527145, 0.000428768, 9.6303e-05, 0, 7910, 2709, 0
0.00042294, 0.000287623, 0.000133836, 3.6151e-05, 8328, 2812, 33
0.000364271, 0.000273104, 8.9783e-05, 0, 7945, 2780, 0
0.00059342, 0.000370394, 0.000221545, 1.186e-06, 8441, 2848, 33
0.000674932, 0.000446202, 0.000226755, 0, 7949, 2466, 0
0.000636119, 0.000484522, 0.000147154, 0, 8146, 2259, 0
0.000808852, 0.000538346, 0.000267543, 6.716e-06, 8699, 2558, 132
0.000476719, 0.000355441, 0.000118612, 3.753e-06, 8475, 2256, 99
0.000446301, 0.000321171, 0.000122661, 1.679e-06, 8404, 2428, 33
0.000452183, 0.000264061, 0.000187035, 5.3622e-05, 7999, 2356, 33
0.000599027, 0.000427792, 0.000169951, 4.838e-06, 8094, 2668, 99
0.000384341, 0.000235325, 0.000147929, 9.678e-06, 8243, 2767, 528
0.000377922, 0.00023572, 0.000141116, 2.962e-06, 8146, 2704, 132
0.0011787, 0.000643959, 0.000532073, 4.424e-05, 8214, 2763, 198
0.00067017, 0.000470808, 0.00019719, 5.825e-06, 7888, 2359, 396
0.000488145, 0.000316876, 0.000169975, 7.461e-06, 8415, 2447, 396
0.000353179, 0.000266849, 8.5336e-05, 4.376e-06, 8724, 2319, 132
0.000554087, 0.000411462, 0.000139939, 0, 8676, 2397, 0
0.000509628, 0.000360539, 0.000147597, 3.581e-06, 7877, 2010, 66
0.000469067, 0.000300621, 0.000166909, 2.152e-06, 8306, 2439, 33
0.000655854, 0.000475726, 0.00017818, 0, 8190, 2700, 0
0.000335458, 0.000245394, 8.8731e-05, 0, 8062, 2663, 0
0.000373676, 0.000270805, 0.000101641, 1.024e-06, 8150, 2625, 33
0.000626345, 0.000431976, 0.000192115, 0, 8093, 2690, 0
0.000589912, 0.000446389, 0.000141583, 2.041e-06, 8413, 2474, 66
0.000413316, 0.000252645, 0.000159549, 4.2158e-05, 7882, 2096, 198
0.000493448, 0.000359521, 0.000130661, 2.348e-06, 8682, 2333, 99
0.000511005, 0.000377181, 0.00013209, 1.939e-06, 8641, 2433, 33
0.000414337, 0.000329101, 8.3704e-05, 1.837e-06, 8046, 2006, 33
0.000566511, 0.000426714, 0.000137965, 2.849e-06, 8438, 2460, 99
0.000759417, 0.000553385, 0.000202776, 0, 7908, 2760, 0
0.000445435, 0.000302586, 0.000141017, 0, 8262, 2595, 0
0.0010674, 0.000701524, 0.000360784, 0, 8052, 2726, 0
0.000545299, 0.000325252, 0.000217714, 4.768e-06, 8299, 2635, 33
0.000333267, 0.000249772, 8.2277e-05, 0, 8162, 2435, 0
0.000430051, 0.000326063, 0.000100842, 0, 7996, 2067, 0
0.000477226, 0.000303542, 0.000172163, 2.739e-06, 8752, 2432, 33
0.000677196, 0.000363796, 0.000311174, 0.000145619, 8542, 2242, 66
0.000308645, 0.000238719, 6.8509e-05, 0, 8260, 2127, 0
0.000519535, 0.000381201, 0.000136005, 0, 8249, 2412, 0
0.000528642, 0.000360558, 0.000165757, 0, 7953, 2559, 0
0.00102237, 0.000559, 0.000459525, 0, 8351, 2708, 0
0.00113279, 0.000658329, 0.000470422, 2.827e-06, 7993, 2603, 33
0.00033603, 0.000254951, 7.9666e-05, 0, 8439, 2719, 0
0.000393583, 0.00029019, 0.000101374, 2.726e-06, 7907, 2374, 99
0.00108362, 0.000662367, 0.000417008, 0.000179125, 8173, 2171, 495
0.042706, 0.000241355, 0.000103798, 1.4209e-05, 8675, 2425, 1089
0.000573306, 0.000392013, 0.000178975, 1.8542e-05, 8495, 2129, 759
0.00762469, 0.00182089, 0.00579846, 2.9023e-05, 8424, 2352, 594
0.000636794, 0.000437361, 0.000196914, 3.8091e-05, 7979, 2308, 396
0.00077818, 0.000439275, 0.000335881, 4.535e-06, 8151, 2677, 33
0.000670536, 0.000420728, 0.000221303, 3.312e-06, 8220, 2654, 33
0.000626074, 0.000506841, 0.000115821, 0, 8190, 2693, 0
0.000720116, 0.000497708, 0.000218494, 0, 8182, 2618, 0
0.000525709, 0.000339032, 0.000185273, 5.018e-06, 7934, 2287, 66
0.000348546, 0.000269276, 7.7767e-05, 0, 8417, 2397, 0
0.000865752, 0.000589461, 0.000271982, 0, 8527, 2169, 0
